timestamp,host,battery_percent,battery_state,cpu_usage_percent,memory_usage_percent,disk_usage_percent,net_down_kbps,net_up_kbps,net_total_kbps
2026-02-27T18:31:55+05:30,LAPTOP-6M2BPLQK,79,charging,43.75,81.00,60.62,0,0,0
2026-02-27T18:31:56+05:30,LAPTOP-6M2BPLQK,79,charging,4.34,81.00,60.62,0,0,0
2026-02-27T18:31:57+05:30,LAPTOP-6M2BPLQK,79,charging,15.52,81.00,60.62,0,0,0
2026-02-27T18:31:58+05:30,LAPTOP-6M2BPLQK,79,charging,2.54,81.00,60.62,0,0,0
2026-02-27T18:31:59+05:30,LAPTOP-6M2BPLQK,79,charging,18.95,82.00,60.62,4,1,5
2026-02-27T18:32:00+05:30,LAPTOP-6M2BPLQK,79,charging,21.53,81.00,60.62,1,0,1
2026-02-27T18:32:01+05:30,LAPTOP-6M2BPLQK,79,charging,12.87,81.00,60.62,0,0,0
2026-02-27T18:32:02+05:30,LAPTOP-6M2BPLQK,79,charging,8.40,81.00,60.62,0,5,5
2026-02-27T18:32:03+05:30,LAPTOP-6M2BPLQK,79,charging,7.98,81.00,60.62,0,0,0
2026-02-27T18:32:04+05:30,LAPTOP-6M2BPLQK,79,charging,5.49,81.00,60.62,0,0,0
2026-02-27T18:32:05+05:30,LAPTOP-6M2BPLQK,79,charging,5.86,81.00,60.62,0,0,0
2026-02-27T18:32:06+05:30,LAPTOP-6M2BPLQK,79,charging,13.67,81.00,60.62,1,0,1
2026-02-27T18:32:07+05:30,LAPTOP-6M2BPLQK,79,charging,6.64,82.00,60.62,4,0,4
2026-02-27T18:32:08+05:30,LAPTOP-6M2BPLQK,79,charging,7.17,81.00,60.62,2,0,2
2026-02-27T18:32:09+05:30,LAPTOP-6M2BPLQK,79,charging,8.66,82.00,60.62,1,0,1
2026-02-27T18:32:10+05:30,LAPTOP-6M2BPLQK,79,charging,11.74,82.00,60.62,2,0,2
2026-02-27T18:32:11+05:30,LAPTOP-6M2BPLQK,79,charging,5.43,82.00,60.62,0,0,0
2026-02-27T18:32:12+05:30,LAPTOP-6M2BPLQK,79,charging,4.91,82.00,60.62,0,0,0
2026-02-27T18:32:13+05:30,LAPTOP-6M2BPLQK,79,charging,4.27,82.00,60.62,2,0,2
2026-02-27T18:32:14+05:30,LAPTOP-6M2BPLQK,79,charging,3.34,82.00,60.62,0,0,0
2026-02-27T18:32:15+05:30,LAPTOP-6M2BPLQK,79,charging,4.49,82.00,60.62,0,0,0
2026-02-27T18:32:16+05:30,LAPTOP-6M2BPLQK,79,charging,4.04,82.00,60.62,0,0,0
2026-02-27T18:32:17+05:30,LAPTOP-6M2BPLQK,79,charging,4.95,82.00,60.62,0,0,0
2026-02-27T18:32:18+05:30,LAPTOP-6M2BPLQK,79,charging,2.35,82.00,60.62,0,0,0
2026-02-27T18:32:19+05:30,LAPTOP-6M2BPLQK,79,charging,13.31,82.00,60.62,9,7,16
2026-02-27T18:32:20+05:30,LAPTOP-6M2BPLQK,79,charging,3.08,82.00,60.62,1,0,1
2026-02-27T18:32:21+05:30,LAPTOP-6M2BPLQK,79,charging,5.11,82.00,60.62,1,0,1
2026-02-27T18:32:22+05:30,LAPTOP-6M2BPLQK,79,charging,5.79,82.00,60.62,0,0,0
2026-02-27T18:32:23+05:30,LAPTOP-6M2BPLQK,79,charging,46.63,86.00,60.62,19,48,67
2026-02-27T18:32:24+05:30,LAPTOP-6M2BPLQK,79,charging,41.41,86.00,60.62,23,41,64
2026-02-27T18:32:25+05:30,LAPTOP-6M2BPLQK,79,charging,46.15,87.00,60.62,76,6,82
2026-02-27T18:32:26+05:30,LAPTOP-6M2BPLQK,79,charging,32.21,87.00,60.62,34,219,253
2026-02-27T18:32:27+05:30,LAPTOP-6M2BPLQK,79,charging,43.08,86.00,60.62,126,142,268
2026-02-27T18:32:28+05:30,LAPTOP-6M2BPLQK,79,charging,52.54,85.00,60.62,51,16,67
2026-02-27T18:32:29+05:30,LAPTOP-6M2BPLQK,79,charging,32.35,85.00,60.62,2,6,8
2026-02-27T18:32:30+05:30,LAPTOP-6M2BPLQK,79,charging,30.47,85.00,60.62,0,0,0
2026-02-27T18:32:31+05:30,LAPTOP-6M2BPLQK,79,charging,44.55,85.00,60.62,5,28,33
2026-02-27T18:32:32+05:30,LAPTOP-6M2BPLQK,79,charging,36.13,86.00,60.62,4,0,4
